Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
2011,17.73,13.19,24.12,12.24,10.18,16.71,18.46,13.72,10.74,17.15,24.48,19.30,19.53,23.24,17.13,10.19,18.31,13.35,12.53,14.66,18.13,23.34,13.54,9.83,17.89,9.40,10.78,16.29,11.33,17.50
2012,17.80,14.03,24.39,12.46,11.26,16.71,18.53,14.46,11.46,16.90,24.39,20.00,19.22,23.59,17.30,11.13,18.93,13.91,13.00,15.16,18.23,22.82,14.05,10.92,17.67,10.22,11.80,16.60,11.99,17.85
2013,18.30,13.77,24.25,12.72,10.94,17.27,18.67,14.53,11.45,18.02,24.75,19.67,19.98,23.56,17.32,10.84,19.15,13.94,13.35,15.46,18.99,23.63,14.27,10.42,18.36,10.20,11.77,17.49,12.04,18.24
2014,18.12,14.40,24.60,13.03,11.40,17.31,18.80,14.58,11.79,17.19,24.51,20.15,19.61,23.96,17.72,11.41,19.01,14.29,13.55,15.26,18.51,23.09,14.33,11.08,18.24,10.50,11.91,16.82,12.20,18.41
2015,18.57,14.67,25.03,13.40,11.57,17.69,19.24,14.89,12.12,17.77,25.03,20.50,20.14,24.37,18.09,11.70,19.36,14.65,13.92,15.69,18.96,23.72,14.71,11.13,18.64,10.78,12.13,17.27,12.54,18.77
2016,18.70,14.44,25.18,13.51,11.00,17.80,19.48,14.48,11.87,18.07,25.30,20.33,20.55,24.39,18.23,11.30,19.06,14.53,13.73,15.52,18.99,24.15,14.48,10.57,18.92,10.39,11.62,17.23,12.21,18.63
2017,18.49,14.46,25.04,13.35,11.18,17.63,19.26,14.60,11.93,17.67,25.11,20.34,20.16,24.31,18.07,11.38,19.11,14.52,13.77,15.47,18.82,23.82,14.46,10.73,18.58,10.49,11.77,17.16,12.29,18.62
2018,18.99,15.37,25.52,13.93,12.30,18.13,19.72,15.32,12.67,18.02,25.38,21.13,20.55,24.91,18.61,12.35,19.72,15.24,14.42,15.97,19.20,24.12,15.04,11.96,19.07,11.34,12.78,17.49,12.96,19.22
2019,18.48,14.66,25.03,13.46,11.62,17.70,19.17,14.92,12.12,17.77,24.81,20.53,19.78,24.42,18.13,11.66,19.39,14.67,13.93,15.70,18.96,23.34,14.69,11.21,18.55,10.77,12.22,17.32,12.53,18.79
2020,18.06,14.47,24.86,13.28,11.31,17.37,18.96,14.44,11.82,16.97,24.55,20.31,19.47,24.27,17.97,11.39,18.86,14.47,13.62,15.16,18.32,22.98,14.25,10.95,18.18,10.39,11.79,16.57,12.10,18.43
